Domain Code;Domain;Area Code (FAO);Area;Element Code;Element;Item Code (FAO);Item;Year Code;Year;Unit;Value;Flag;Flag Description
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1961;1961;hg/ha;68018;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1962;1962;hg/ha;68018;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1963;1963;hg/ha;68018;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1964;1964;hg/ha;78298;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1965;1965;hg/ha;82258;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1966;1966;hg/ha;83212;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1967;1967;hg/ha;90196;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1968;1968;hg/ha;93311;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1969;1969;hg/ha;92763;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1970;1970;hg/ha;89216;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1971;1971;hg/ha;70261;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1972;1972;hg/ha;84444;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1973;1973;hg/ha;85981;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1974;1974;hg/ha;85015;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1975;1975;hg/ha;85321;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1976;1976;hg/ha;80122;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1977;1977;hg/ha;47256;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1978;1978;hg/ha;69846;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1979;1979;hg/ha;68571;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1980;1980;hg/ha;70794;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1981;1981;hg/ha;71753;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1982;1982;hg/ha;72297;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1983;1983;hg/ha;72982;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1984;1984;hg/ha;73260;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1985;1985;hg/ha;71805;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1986;1986;hg/ha;74903;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1987;1987;hg/ha;74439;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1988;1988;hg/ha;72532;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1989;1989;hg/ha;72222;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1990;1990;hg/ha;71319;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1991;1991;hg/ha;74625;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1992;1992;hg/ha;74523;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1993;1993;hg/ha;73913;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1994;1994;hg/ha;74468;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1995;1995;hg/ha;74759;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1996;1996;hg/ha;74453;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1997;1997;hg/ha;73978;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1998;1998;hg/ha;73438;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;1999;1999;hg/ha;72876;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2000;2000;hg/ha;72419;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2001;2001;hg/ha;72131;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2002;2002;hg/ha;70624;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2003;2003;hg/ha;71266;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2004;2004;hg/ha;72228;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2005;2005;hg/ha;73570;Fc;Calculated data
QCL;Crops and livestock products;2;Afghanistan;5419;Yield;515;Apples;2006;2006;hg/ha;75000;Fc;Calculated data
